time,pm1.0,pm2.5,pm10
348.884747505188,1,1,1
349.8006660938263,1,1,1
350.6462104320526,1,1,1
351.49163937568665,1,1,1
352.40751218795776,1,1,1
353.2530941963196,1,1,1
354.09859132766724,1,1,1
355.0143885612488,1,1,1
355.8600273132324,1,1,1
356.7055284976959,1,1,1
357.62142753601074,1,1,1
358.46696519851685,1,1,1
359.31263732910156,1,1,1
360.22817826271057,1,1,1
361.07371258735657,1,1,1
361.9191982746124,1,1,1
362.8350176811218,0,1,1
363.6805760860443,0,1,1
364.52605295181274,0,1,1
365.4418637752533,0,1,1
366.2874548435211,0,1,1
367.1329276561737,0,1,1
368.0485987663269,0,1,1
368.8940682411194,0,1,1
369.7396972179413,0,1,1
370.6552836894989,0,1,1
371.50090050697327,0,1,1
372.346346616745,0,1,1
373.26222801208496,0,0,0
374.1077010631561,0,0,0
374.95320439338684,0,0,0
375.8688974380493,0,0,0
376.7143213748932,0,0,0
377.55986857414246,0,0,0
378.4757218360901,0,0,0
379.32118129730225,0,0,0
380.1667296886444,0,0,0
381.08234691619873,0,0,0
381.92786478996277,0,0,0
382.7732973098755,0,0,0
383.68912148475647,0,0,0
384.5346863269806,0,0,0
385.3801212310791,0,0,0
386.2959532737732,0,0,0
387.14155316352844,0,0,0
387.9870779514313,0,0,0
388.9029059410095,0,0,0
389.7485387325287,0,0,0
390.59401297569275,0,0,0
391.5098171234131,0,0,3
392.35542821884155,0,0,3
393.2008595466614,0,0,3
394.11672472953796,0,0,2
394.96235060691833,0,0,2
395.8080291748047,0,0,2
396.72376537323,0,0,2
397.56925559043884,0,1,3
398.41489577293396,0,1,3
399.3307647705078,0,1,3
400.17613077163696,0,1,3
401.0218117237091,0,1,3
401.9375627040863,0,1,3
402.7830591201782,0,1,3
403.6286461353302,0,0,2
404.5442519187927,0,0,2
405.38979983329773,0,0,2
406.23523902893066,0,0,2
407.1510167121887,0,0,2
407.9966516494751,0,0,2
408.8421537876129,0,0,2
409.75783491134644,0,0,2
410.60336685180664,0,0,2
411.4489805698395,0,0,2
412.3649458885193,0,1,4
413.21050333976746,0,1,4
414.0559480190277,0,1,4
414.97162675857544,0,1,4
415.81714057922363,0,0,3
416.66276240348816,0,0,3
417.578577041626,0,0,0
418.42424511909485,0,1,1
419.26994800567627,0,1,1
420.1856985092163,0,1,1
421.0312407016754,0,1,1
421.8767421245575,0,1,1
422.7926104068756,0,1,1
423.6382601261139,0,1,1
424.4836986064911,0,1,1
425.3995900154114,0,1,1
426.24526810646057,0,1,1
427.09076261520386,0,1,1
428.00653767585754,0,1,1
428.8521182537079,0,1,1
429.69757890701294,0,1,1
430.6133921146393,0,2,2
431.4591238498688,0,2,2
432.30461287498474,0,2,2
433.2203505039215,0,2,2
434.0659499168396,0,2,2
